"Mod name","Registry name","Item ID","Display name","Exists"
"Additional Lights","additional_lights:al_lamp_acacia_planks","additional_lights:al_lamp_acacia_planks","Acacia Lamp","true"
"Additional Lights","additional_lights:al_lamp_birch_planks","additional_lights:al_lamp_birch_planks","Birch Lamp","true"
"Additional Lights","additional_lights:al_lamp_blackstone","additional_lights:al_lamp_blackstone","BlackStone Lamp","true"
"Additional Lights","additional_lights:al_lamp_cobblestone","additional_lights:al_lamp_cobblestone","CobbleStone Lamp","true"
"Additional Lights","additional_lights:al_lamp_crimson_planks","additional_lights:al_lamp_crimson_planks","Crimson Lamp","true"
"Additional Lights","additional_lights:al_lamp_dark_oak_planks","additional_lights:al_lamp_dark_oak_planks","Dark Oak Lamp","true"
"Additional Lights","additional_lights:al_lamp_diamond_block","additional_lights:al_lamp_diamond_block","Diamond Lamp","true"
"Additional Lights","additional_lights:al_lamp_end_stone","additional_lights:al_lamp_end_stone","End Stone Lamp","true"
"Additional Lights","additional_lights:al_lamp_glass","additional_lights:al_lamp_glass","Glass Lamp","true"
"Additional Lights","additional_lights:al_lamp_gold_block","additional_lights:al_lamp_gold_block","Gold Lamp","true"
"Additional Lights","additional_lights:al_lamp_iron_block","additional_lights:al_lamp_iron_block","Iron Lamp","true"
"Additional Lights","additional_lights:al_lamp_jungle_planks","additional_lights:al_lamp_jungle_planks","Jungle Lamp","true"
"Additional Lights","additional_lights:al_lamp_magenta_wool","additional_lights:al_lamp_magenta_wool","Magenta Wool Lamp","true"
"Additional Lights","additional_lights:al_lamp_mossy_cobblestone","additional_lights:al_lamp_mossy_cobblestone","Mossy CobbleStone Lamp","true"
"Additional Lights","additional_lights:al_lamp_nether_bricks","additional_lights:al_lamp_nether_bricks","Nether Bricks Lamp","true"
"Additional Lights","additional_lights:al_lamp_oak_planks","additional_lights:al_lamp_oak_planks","Oak Lamp","true"
"Additional Lights","additional_lights:al_lamp_packed_ice","additional_lights:al_lamp_packed_ice","Ice Lamp","true"
"Additional Lights","additional_lights:al_lamp_pink_wool","additional_lights:al_lamp_pink_wool","Pink Wool Lamp","true"
"Additional Lights","additional_lights:al_lamp_red_nether_bricks","additional_lights:al_lamp_red_nether_bricks","Red Nether Bricks Lamp","true"
"Additional Lights","additional_lights:al_lamp_sandstone","additional_lights:al_lamp_sandstone","SandStone Lamp","true"
"Additional Lights","additional_lights:al_lamp_spruce_planks","additional_lights:al_lamp_spruce_planks","Spruce Lamp","true"
"Additional Lights","additional_lights:al_lamp_stone","additional_lights:al_lamp_stone","Stone Lamp","true"
"Additional Lights","additional_lights:al_lamp_warped_planks","additional_lights:al_lamp_warped_planks","Warped Lamp","true"
"Additional Lights","additional_lights:al_torch_acacia_planks","additional_lights:al_torch_acacia_planks","Acacia AlTorch","true"
"Additional Lights","additional_lights:al_torch_birch_planks","additional_lights:al_torch_birch_planks","Birch AlTorch","true"
"Additional Lights","additional_lights:al_torch_blackstone","additional_lights:al_torch_blackstone","BlackStone AlTorch","true"
"Additional Lights","additional_lights:al_torch_cobblestone","additional_lights:al_torch_cobblestone","CobbleStone AlTorch","true"
"Additional Lights","additional_lights:al_torch_crimson_planks","additional_lights:al_torch_crimson_planks","Crimson AlTorch","true"
"Additional Lights","additional_lights:al_torch_dark_oak_planks","additional_lights:al_torch_dark_oak_planks","Dark Oak AlTorch","true"
"Additional Lights","additional_lights:al_torch_diamond_block","additional_lights:al_torch_diamond_block","Diamond AlTorch","true"
"Additional Lights","additional_lights:al_torch_end_stone","additional_lights:al_torch_end_stone","End Stone AlTorch","true"
"Additional Lights","additional_lights:al_torch_end_stone_bricks","additional_lights:al_torch_end_stone_bricks","End Stone Bricks AlTorch","true"
"Additional Lights","additional_lights:al_torch_glass","additional_lights:al_torch_glass","Glass AlTorch","true"
"Additional Lights","additional_lights:al_torch_gold_block","additional_lights:al_torch_gold_block","Gold AlTorch","true"
"Additional Lights","additional_lights:al_torch_iron_block","additional_lights:al_torch_iron_block","Iron AlTorch","true"
"Additional Lights","additional_lights:al_torch_jungle_planks","additional_lights:al_torch_jungle_planks","Jungle AlTorch","true"
"Additional Lights","additional_lights:al_torch_magenta_wool","additional_lights:al_torch_magenta_wool","Magenta Wool AlTorch","true"
"Additional Lights","additional_lights:al_torch_mossy_cobblestone","additional_lights:al_torch_mossy_cobblestone","Mossy CobbleStone AlTorch","true"
"Additional Lights","additional_lights:al_torch_mossy_stone_bricks","additional_lights:al_torch_mossy_stone_bricks","Mossy Stone Bricks AlTorch","true"
"Additional Lights","additional_lights:al_torch_nether_bricks","additional_lights:al_torch_nether_bricks","Nether Bricks AlTorch","true"
"Additional Lights","additional_lights:al_torch_oak_planks","additional_lights:al_torch_oak_planks","Oak AlTorch","true"
"Additional Lights","additional_lights:al_torch_packed_ice","additional_lights:al_torch_packed_ice","Ice AlTorch","true"
"Additional Lights","additional_lights:al_torch_pink_wool","additional_lights:al_torch_pink_wool","Pink Wool AlTorch","true"
"Additional Lights","additional_lights:al_torch_red_nether_bricks","additional_lights:al_torch_red_nether_bricks","Red Nether Bricks AlTorch","true"
"Additional Lights","additional_lights:al_torch_sandstone","additional_lights:al_torch_sandstone","SandStone AlTorch","true"
"Additional Lights","additional_lights:al_torch_smooth_stone","additional_lights:al_torch_smooth_stone","Smooth Stone AlTorch","true"
"Additional Lights","additional_lights:al_torch_spruce_planks","additional_lights:al_torch_spruce_planks","Spruce AlTorch","true"
"Additional Lights","additional_lights:al_torch_stone","additional_lights:al_torch_stone","Stone AlTorch","true"
"Additional Lights","additional_lights:al_torch_stone_bricks","additional_lights:al_torch_stone_bricks","Stone Bricks AlTorch","true"
"Additional Lights","additional_lights:al_torch_warped_planks","additional_lights:al_torch_warped_planks","Warped AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_acacia_planks","additional_lights:al_torch_acacia_planks","Acacia AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_birch_planks","additional_lights:al_torch_birch_planks","Birch AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_blackstone","additional_lights:al_torch_blackstone","BlackStone AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_cobblestone","additional_lights:al_torch_cobblestone","CobbleStone AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_crimson_planks","additional_lights:al_torch_crimson_planks","Crimson AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_dark_oak_planks","additional_lights:al_torch_dark_oak_planks","Dark Oak AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_diamond_block","additional_lights:al_torch_diamond_block","Diamond AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_end_stone","additional_lights:al_torch_end_stone","End Stone AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_end_stone_bricks","additional_lights:al_torch_end_stone_bricks","End Stone Bricks AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_glass","additional_lights:al_torch_glass","Glass AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_gold_block","additional_lights:al_torch_gold_block","Gold AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_iron_block","additional_lights:al_torch_iron_block","Iron AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_jungle_planks","additional_lights:al_torch_jungle_planks","Jungle AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_magenta_wool","additional_lights:al_torch_magenta_wool","Magenta Wool AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_mossy_cobblestone","additional_lights:al_torch_mossy_cobblestone","Mossy CobbleStone AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_mossy_stone_bricks","additional_lights:al_torch_mossy_stone_bricks","Mossy Stone Bricks AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_nether_bricks","additional_lights:al_torch_nether_bricks","Nether Bricks AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_oak_planks","additional_lights:al_torch_oak_planks","Oak AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_packed_ice","additional_lights:al_torch_packed_ice","Ice AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_pink_wool","additional_lights:al_torch_pink_wool","Pink Wool AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_red_nether_bricks","additional_lights:al_torch_red_nether_bricks","Red Nether Bricks AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_sandstone","additional_lights:al_torch_sandstone","SandStone AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_smooth_stone","additional_lights:al_torch_smooth_stone","Smooth Stone AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_spruce_planks","additional_lights:al_torch_spruce_planks","Spruce AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_stone","additional_lights:al_torch_stone","Stone AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_stone_bricks","additional_lights:al_torch_stone_bricks","Stone Bricks AlTorch","true"
"Additional Lights","additional_lights:al_wall_torch_warped_planks","additional_lights:al_torch_warped_planks","Warped AlTorch","true"
"Additional Lights","additional_lights:fire_for_fire_pit_l","additional_lights:fire_for_fire_pit_l","Fire For Fire Pit L","true"
"Additional Lights","additional_lights:fire_for_fire_pit_s","additional_lights:fire_for_fire_pit_s","Fire For Fire Pit","true"
"Additional Lights","additional_lights:fire_for_standing_torch_l","additional_lights:fire_for_standing_torch_l","Fire For Standing Torch L","true"
"Additional Lights","additional_lights:fire_for_standing_torch_s","additional_lights:fire_for_standing_torch_s","Fire For Standing Torch","true"
"Additional Lights","additional_lights:fire_pit_l_cobblestone","additional_lights:fire_pit_l_cobblestone","CobbleStone Fire Pit - L","true"
"Additional Lights","additional_lights:fire_pit_l_cut_sandstone","additional_lights:fire_pit_l_cut_sandstone","Cut SandStone Fire Pit - L","true"
"Additional Lights","additional_lights:fire_pit_l_diamond_block","additional_lights:fire_pit_l_diamond_block","Diamond Fire Pit - L","true"
"Additional Lights","additional_lights:fire_pit_l_end_stone","additional_lights:fire_pit_l_end_stone","End Stone Fire Pit - L","true"
"Additional Lights","additional_lights:fire_pit_l_end_stone_bricks","additional_lights:fire_pit_l_end_stone_bricks","End Stone Bricks Fire Pit - L","true"
"Additional Lights","additional_lights:fire_pit_l_gold_block","additional_lights:fire_pit_l_gold_block","Gold Fire Pit - L","true"
"Additional Lights","additional_lights:fire_pit_l_iron_block","additional_lights:fire_pit_l_iron_block","Iron Fire Pit - L","true"
"Additional Lights","additional_lights:fire_pit_l_magenta_wool","additional_lights:fire_pit_l_magenta_wool","Magenta Wool Fire Pit - L","true"
"Additional Lights","additional_lights:fire_pit_l_mossy_cobblestone","additional_lights:fire_pit_l_mossy_cobblestone","Mossy CobbleStone Fire Pit - L","true"
"Additional Lights","additional_lights:fire_pit_l_mossy_stone_bricks","additional_lights:fire_pit_l_mossy_stone_bricks","Mossy Stone Bricks Fire Pit - L","true"
"Additional Lights","additional_lights:fire_pit_l_nether_bricks","additional_lights:fire_pit_l_nether_bricks","Nether Bricks Fire Pit - L","true"
"Additional Lights","additional_lights:fire_pit_l_packed_ice","additional_lights:fire_pit_l_packed_ice","Ice Fire Pit - L","true"
"Additional Lights","additional_lights:fire_pit_l_pink_wool","additional_lights:fire_pit_l_pink_wool","Pink Wool Fire Pit - L","true"
"Additional Lights","additional_lights:fire_pit_l_polished_andesite","additional_lights:fire_pit_l_polished_andesite","Polished Andesite Fire Pit - L","true"
"Additional Lights","additional_lights:fire_pit_l_polished_blackstone","additional_lights:fire_pit_l_polished_blackstone","Polished BlackStone Fire Pit - L","true"
