"Mod name","Registry name","Item ID","Display name","Recipe name","Tags"
"Additional Lights","additional_lights:al_lamp_acacia_planks",1886,"Acacia Lamp","additional_lights:al_lamp_acacia_planks",""
"Additional Lights","additional_lights:al_lamp_birch_planks",1887,"Birch Lamp","additional_lights:al_lamp_birch_planks",""
"Additional Lights","additional_lights:al_lamp_blackstone",1901,"BlackStone Lamp","additional_lights:al_lamp_blackstone",""
"Additional Lights","additional_lights:al_lamp_cobblestone",1894,"CobbleStone Lamp","additional_lights:al_lamp_cobblestone",""
"Additional Lights","additional_lights:al_lamp_dark_oak_planks",1889,"Dark Oak Lamp","additional_lights:al_lamp_dark_oak_planks",""
"Additional Lights","additional_lights:al_lamp_diamond_block",1905,"Diamond Lamp","additional_lights:al_lamp_diamond_block",""
"Additional Lights","additional_lights:al_lamp_end_stone",1898,"End Stone Lamp","additional_lights:al_lamp_end_stone",""
"Additional Lights","additional_lights:al_lamp_glass",1902,"Glass Lamp","additional_lights:al_lamp_glass",""
"Additional Lights","additional_lights:al_lamp_gold_block",1904,"Gold Lamp","additional_lights:al_lamp_gold_block",""
"Additional Lights","additional_lights:al_lamp_iron_block",1903,"Iron Lamp","additional_lights:al_lamp_iron_block",""
"Additional Lights","additional_lights:al_lamp_jungle_planks",1891,"Jungle Lamp","additional_lights:al_lamp_jungle_planks",""
"Additional Lights","additional_lights:al_lamp_magenta_wool",1908,"Magenta Wool Lamp","additional_lights:al_lamp_magenta_wool",""
"Additional Lights","additional_lights:al_lamp_mossy_cobblestone",1895,"Mossy CobbleStone Lamp","additional_lights:al_lamp_mossy_cobblestone",""
"Additional Lights","additional_lights:al_lamp_nether_bricks",1899,"Nether Bricks Lamp","additional_lights:al_lamp_nether_bricks",""
"Additional Lights","additional_lights:al_lamp_oak_planks",1888,"Oak Lamp","additional_lights:al_lamp_oak_planks",""
"Additional Lights","additional_lights:al_lamp_packed_ice",1906,"Ice Lamp","additional_lights:al_lamp_packed_ice",""
"Additional Lights","additional_lights:al_lamp_pink_wool",1907,"Pink Wool Lamp","additional_lights:al_lamp_pink_wool",""
"Additional Lights","additional_lights:al_lamp_red_nether_bricks",1900,"Red Nether Bricks Lamp","additional_lights:al_lamp_red_nether_bricks",""
"Additional Lights","additional_lights:al_lamp_sandstone",1897,"SandStone Lamp","additional_lights:al_lamp_sandstone",""
"Additional Lights","additional_lights:al_lamp_spruce_planks",1890,"Spruce Lamp","additional_lights:al_lamp_spruce_planks",""
"Additional Lights","additional_lights:al_lamp_stone",1896,"Stone Lamp","additional_lights:al_lamp_stone",""
"Additional Lights","additional_lights:al_torch_acacia_planks",1909,"Acacia AlTorch","additional_lights:al_torch_acacia_planks",""
"Additional Lights","additional_lights:al_torch_birch_planks",1910,"Birch AlTorch","additional_lights:al_torch_birch_planks",""
"Additional Lights","additional_lights:al_torch_blackstone",1928,"BlackStone AlTorch","additional_lights:al_torch_blackstone",""
"Additional Lights","additional_lights:al_torch_cobblestone",1917,"CobbleStone AlTorch","additional_lights:al_torch_cobblestone",""
"Additional Lights","additional_lights:al_torch_dark_oak_planks",1912,"Dark Oak AlTorch","additional_lights:al_torch_dark_oak_planks",""
"Additional Lights","additional_lights:al_torch_diamond_block",1932,"Diamond AlTorch","additional_lights:al_torch_diamond_block",""
"Additional Lights","additional_lights:al_torch_end_stone",1924,"End Stone AlTorch","additional_lights:al_torch_end_stone",""
"Additional Lights","additional_lights:al_torch_end_stone_bricks",1925,"End Stone Bricks AlTorch","additional_lights:al_torch_end_stone_bricks",""
"Additional Lights","additional_lights:al_torch_glass",1929,"Glass AlTorch","additional_lights:al_torch_glass",""
"Additional Lights","additional_lights:al_torch_gold_block",1931,"Gold AlTorch","additional_lights:al_torch_gold_block",""
"Additional Lights","additional_lights:al_torch_iron_block",1930,"Iron AlTorch","additional_lights:al_torch_iron_block",""
"Additional Lights","additional_lights:al_torch_jungle_planks",1914,"Jungle AlTorch","additional_lights:al_torch_jungle_planks",""
"Additional Lights","additional_lights:al_torch_magenta_wool",1935,"Magenta Wool AlTorch","additional_lights:al_torch_magenta_wool",""
"Additional Lights","additional_lights:al_torch_mossy_cobblestone",1918,"Mossy CobbleStone AlTorch","additional_lights:al_torch_mossy_cobblestone",""
"Additional Lights","additional_lights:al_torch_mossy_stone_bricks",1921,"Mossy Stone Bricks AlTorch","additional_lights:al_torch_mossy_stone_bricks",""
"Additional Lights","additional_lights:al_torch_nether_bricks",1926,"Nether Bricks AlTorch","additional_lights:al_torch_nether_bricks",""
"Additional Lights","additional_lights:al_torch_oak_planks",1911,"Oak AlTorch","additional_lights:al_torch_oak_planks",""
"Additional Lights","additional_lights:al_torch_packed_ice",1933,"Ice AlTorch","additional_lights:al_torch_packed_ice",""
"Additional Lights","additional_lights:al_torch_pink_wool",1934,"Pink Wool AlTorch","additional_lights:al_torch_pink_wool",""
"Additional Lights","additional_lights:al_torch_red_nether_bricks",1927,"Red Nether Bricks AlTorch","additional_lights:al_torch_red_nether_bricks",""
"Additional Lights","additional_lights:al_torch_sandstone",1923,"SandStone AlTorch","additional_lights:al_torch_sandstone",""
"Additional Lights","additional_lights:al_torch_smooth_stone",1922,"Smooth Stone AlTorch","additional_lights:al_torch_smooth_stone",""
"Additional Lights","additional_lights:al_torch_spruce_planks",1913,"Spruce AlTorch","additional_lights:al_torch_spruce_planks",""
"Additional Lights","additional_lights:al_torch_stone",1919,"Stone AlTorch","additional_lights:al_torch_stone",""
"Additional Lights","additional_lights:al_torch_stone_bricks",1920,"Stone Bricks AlTorch","additional_lights:al_torch_stone_bricks",""
"Additional Lights","additional_lights:fire_for_fire_pit_l",2027,"Fire For Fire Pit L","additional_lights:fire_for_fire_pit_l",""
"Additional Lights","additional_lights:fire_for_fire_pit_s",2026,"Fire For Fire Pit","additional_lights:fire_for_fire_pit_s",""
"Additional Lights","additional_lights:fire_for_standing_torch_l",2025,"Fire For Standing Torch L","additional_lights:fire_for_standing_torch_l",""
"Additional Lights","additional_lights:fire_for_standing_torch_s",2024,"Fire For Standing Torch","additional_lights:fire_for_standing_torch_s",""
"Additional Lights","additional_lights:fire_pit_l_cobblestone",2002,"CobbleStone Fire Pit - L","additional_lights:fire_pit_l_cobblestone",""
"Additional Lights","additional_lights:fire_pit_l_cut_sandstone",2012,"Cut SandStone Fire Pit - L","additional_lights:fire_pit_l_cut_sandstone",""
"Additional Lights","additional_lights:fire_pit_l_diamond_block",2020,"Diamond Fire Pit - L","additional_lights:fire_pit_l_diamond_block",""
"Additional Lights","additional_lights:fire_pit_l_end_stone",2013,"End Stone Fire Pit - L","additional_lights:fire_pit_l_end_stone",""
"Additional Lights","additional_lights:fire_pit_l_end_stone_bricks",2014,"End Stone Bricks Fire Pit - L","additional_lights:fire_pit_l_end_stone_bricks",""
"Additional Lights","additional_lights:fire_pit_l_gold_block",2019,"Gold Fire Pit - L","additional_lights:fire_pit_l_gold_block",""
"Additional Lights","additional_lights:fire_pit_l_iron_block",2018,"Iron Fire Pit - L","additional_lights:fire_pit_l_iron_block",""
"Additional Lights","additional_lights:fire_pit_l_magenta_wool",2023,"Magenta Wool Fire Pit - L","additional_lights:fire_pit_l_magenta_wool",""
"Additional Lights","additional_lights:fire_pit_l_mossy_cobblestone",2003,"Mossy CobbleStone Fire Pit - L","additional_lights:fire_pit_l_mossy_cobblestone",""
"Additional Lights","additional_lights:fire_pit_l_mossy_stone_bricks",2006,"Mossy Stone Bricks Fire Pit - L","additional_lights:fire_pit_l_mossy_stone_bricks",""
"Additional Lights","additional_lights:fire_pit_l_nether_bricks",2015,"Nether Bricks Fire Pit - L","additional_lights:fire_pit_l_nether_bricks",""
"Additional Lights","additional_lights:fire_pit_l_packed_ice",2021,"Ice Fire Pit - L","additional_lights:fire_pit_l_packed_ice",""
"Additional Lights","additional_lights:fire_pit_l_pink_wool",2022,"Pink Wool Fire Pit - L","additional_lights:fire_pit_l_pink_wool",""
"Additional Lights","additional_lights:fire_pit_l_polished_andesite",2008,"Polished Andesite Fire Pit - L","additional_lights:fire_pit_l_polished_andesite",""
"Additional Lights","additional_lights:fire_pit_l_polished_blackstone",2017,"Polished BlackStone Fire Pit - L","additional_lights:fire_pit_l_polished_blackstone",""
