"Mod name","Registry name","Item ID","Display name"
"Additional Lights","additional_lights:al_lamp_acacia_planks",1886,"Acacia Lamp"
"Additional Lights","additional_lights:al_lamp_birch_planks",1887,"Birch Lamp"
"Additional Lights","additional_lights:al_lamp_blackstone",1901,"BlackStone Lamp"
"Additional Lights","additional_lights:al_lamp_cobblestone",1894,"CobbleStone Lamp"
"Additional Lights","additional_lights:al_lamp_crimson_planks",1892,"Crimson Lamp"
"Additional Lights","additional_lights:al_lamp_dark_oak_planks",1889,"Dark Oak Lamp"
"Additional Lights","additional_lights:al_lamp_diamond_block",1905,"Diamond Lamp"
"Additional Lights","additional_lights:al_lamp_end_stone",1898,"End Stone Lamp"
"Additional Lights","additional_lights:al_lamp_glass",1902,"Glass Lamp"
"Additional Lights","additional_lights:al_lamp_gold_block",1904,"Gold Lamp"
"Additional Lights","additional_lights:al_lamp_iron_block",1903,"Iron Lamp"
"Additional Lights","additional_lights:al_lamp_jungle_planks",1891,"Jungle Lamp"
"Additional Lights","additional_lights:al_lamp_magenta_wool",1908,"Magenta Wool Lamp"
"Additional Lights","additional_lights:al_lamp_mossy_cobblestone",1895,"Mossy CobbleStone Lamp"
"Additional Lights","additional_lights:al_lamp_nether_bricks",1899,"Nether Bricks Lamp"
"Additional Lights","additional_lights:al_lamp_oak_planks",1888,"Oak Lamp"
"Additional Lights","additional_lights:al_lamp_packed_ice",1906,"Ice Lamp"
"Additional Lights","additional_lights:al_lamp_pink_wool",1907,"Pink Wool Lamp"
"Additional Lights","additional_lights:al_lamp_red_nether_bricks",1900,"Red Nether Bricks Lamp"
"Additional Lights","additional_lights:al_lamp_sandstone",1897,"SandStone Lamp"
"Additional Lights","additional_lights:al_lamp_spruce_planks",1890,"Spruce Lamp"
"Additional Lights","additional_lights:al_lamp_stone",1896,"Stone Lamp"
"Additional Lights","additional_lights:al_lamp_warped_planks",1893,"Warped Lamp"
"Additional Lights","additional_lights:al_torch_acacia_planks",1909,"Acacia AlTorch"
"Additional Lights","additional_lights:al_torch_birch_planks",1910,"Birch AlTorch"
"Additional Lights","additional_lights:al_torch_blackstone",1928,"BlackStone AlTorch"
"Additional Lights","additional_lights:al_torch_cobblestone",1917,"CobbleStone AlTorch"
"Additional Lights","additional_lights:al_torch_crimson_planks",1915,"Crimson AlTorch"
"Additional Lights","additional_lights:al_torch_dark_oak_planks",1912,"Dark Oak AlTorch"
"Additional Lights","additional_lights:al_torch_diamond_block",1932,"Diamond AlTorch"
"Additional Lights","additional_lights:al_torch_end_stone",1924,"End Stone AlTorch"
"Additional Lights","additional_lights:al_torch_end_stone_bricks",1925,"End Stone Bricks AlTorch"
"Additional Lights","additional_lights:al_torch_glass",1929,"Glass AlTorch"
"Additional Lights","additional_lights:al_torch_gold_block",1931,"Gold AlTorch"
"Additional Lights","additional_lights:al_torch_iron_block",1930,"Iron AlTorch"
"Additional Lights","additional_lights:al_torch_jungle_planks",1914,"Jungle AlTorch"
"Additional Lights","additional_lights:al_torch_magenta_wool",1935,"Magenta Wool AlTorch"
"Additional Lights","additional_lights:al_torch_mossy_cobblestone",1918,"Mossy CobbleStone AlTorch"
"Additional Lights","additional_lights:al_torch_mossy_stone_bricks",1921,"Mossy Stone Bricks AlTorch"
"Additional Lights","additional_lights:al_torch_nether_bricks",1926,"Nether Bricks AlTorch"
"Additional Lights","additional_lights:al_torch_oak_planks",1911,"Oak AlTorch"
"Additional Lights","additional_lights:al_torch_packed_ice",1933,"Ice AlTorch"
"Additional Lights","additional_lights:al_torch_pink_wool",1934,"Pink Wool AlTorch"
"Additional Lights","additional_lights:al_torch_red_nether_bricks",1927,"Red Nether Bricks AlTorch"
"Additional Lights","additional_lights:al_torch_sandstone",1923,"SandStone AlTorch"
"Additional Lights","additional_lights:al_torch_smooth_stone",1922,"Smooth Stone AlTorch"
"Additional Lights","additional_lights:al_torch_spruce_planks",1913,"Spruce AlTorch"
"Additional Lights","additional_lights:al_torch_stone",1919,"Stone AlTorch"
"Additional Lights","additional_lights:al_torch_stone_bricks",1920,"Stone Bricks AlTorch"
"Additional Lights","additional_lights:al_torch_warped_planks",1916,"Warped AlTorch"
"Additional Lights","additional_lights:fire_for_fire_pit_l",2027,"Fire For Fire Pit L"
"Additional Lights","additional_lights:fire_for_fire_pit_s",2026,"Fire For Fire Pit"
"Additional Lights","additional_lights:fire_for_standing_torch_l",2025,"Fire For Standing Torch L"
"Additional Lights","additional_lights:fire_for_standing_torch_s",2024,"Fire For Standing Torch"
"Additional Lights","additional_lights:fire_pit_l_cobblestone",2002,"CobbleStone Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_cut_sandstone",2012,"Cut SandStone Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_diamond_block",2020,"Diamond Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_end_stone",2013,"End Stone Fire Pit - L"
