"ID","Tagged objects"
"atmospheric:aspen_logs","atmospheric:aspen_log, atmospheric:aspen_wood, atmospheric:stripped_aspen_log, atmospheric:stripped_aspen_wood, atmospheric:crustose_log, atmospheric:crustose_wood, atmospheric:watchful_aspen_log, atmospheric:watchful_aspen_wood"
"atmospheric:grimwood_logs","atmospheric:grimwood_log, atmospheric:grimwood, atmospheric:stripped_grimwood_log, atmospheric:stripped_grimwood"
"atmospheric:kousa_logs","atmospheric:kousa_log, atmospheric:kousa_wood, atmospheric:stripped_kousa_log, atmospheric:stripped_kousa_wood"
"atmospheric:morado_logs","atmospheric:morado_log, atmospheric:morado_wood, atmospheric:stripped_morado_log, atmospheric:stripped_morado_wood"
"atmospheric:rosewood_logs","atmospheric:rosewood_log, atmospheric:rosewood, atmospheric:stripped_rosewood_log, atmospheric:stripped_rosewood"
"atmospheric:yucca_logs","atmospheric:yucca_log, atmospheric:yucca_wood, atmospheric:stripped_yucca_log, atmospheric:stripped_yucca_wood"
"autumnity:maple_logs","autumnity:maple_log, autumnity:maple_wood, autumnity:stripped_maple_log, autumnity:stripped_maple_wood, autumnity:sappy_maple_log, autumnity:sappy_maple_wood"
"autumnity:snail_breeding_items","minecraft:mushroom_stew, minecraft:suspicious_stew"
"autumnity:snail_foods","minecraft:red_mushroom, minecraft:brown_mushroom, minecraft:crimson_fungus, minecraft:warped_fungus, quark:glowshroom"
"autumnity:snail_glowing_foods","quark:glowshroom"
"autumnity:snail_speeding_foods","minecraft:crimson_fungus, minecraft:warped_fungus"
"autumnity:snail_temptation_items","minecraft:red_mushroom, minecraft:brown_mushroom, minecraft:crimson_fungus, minecraft:warped_fungus, quark:glowshroom, minecraft:mushroom_stew, minecraft:suspicious_stew, minecraft:warped_fungus_on_a_stick"
"autumnity:turkey_breeding_items","autumnity:foul_berries"
"biomesoplenty:cherry_logs","decorative_blocks:cherry_beam"
"biomesoplenty:dead_logs","decorative_blocks:dead_beam"
"biomesoplenty:fir_logs","decorative_blocks:fir_beam"
"biomesoplenty:hellbark_logs","decorative_blocks:hellbark_beam"
"biomesoplenty:jacaranda_logs","decorative_blocks:jacaranda_beam"
"biomesoplenty:magic_logs","decorative_blocks:magic_beam"
"biomesoplenty:mahogany_logs","decorative_blocks:mahogany_beam"
"biomesoplenty:palm_logs","decorative_blocks:palm_beam"
"biomesoplenty:redwood_logs","decorative_blocks:redwood_beam"
"biomesoplenty:umbran_logs","decorative_blocks:umbran_beam"
"biomesoplenty:willow_logs","decorative_blocks:willow_beam"
"buildinggadgets:template_convertible","minecraft:paper"
"buzzier_bees:candle_base","minecraft:honeycomb, quark:tallow"
"buzzier_bees:candle_wick","minecraft:string"
"buzzier_bees:candles","buzzier_bees:candle, buzzier_bees:soul_candle, buzzier_bees:ender_candle, buzzier_bees:white_candle, buzzier_bees:orange_candle, buzzier_bees:magenta_candle, buzzier_bees:light_blue_candle, buzzier_bees:yellow_candle, buzzier_bees:lime_candle, buzzier_bees:pink_candle, buzzier_bees:gray_candle, buzzier_bees:light_gray_candle, buzzier_bees:cyan_candle, buzzier_bees:purple_candle, buzzier_bees:blue_candle, buzzier_bees:brown_candle, buzzier_bees:green_candle, buzzier_bees:red_candle, buzzier_bees:black_candle, buzzier_bees:allium_scented_candle, buzzier_bees:azure_bluet_scented_candle, buzzier_bees:blue_orchid_scented_candle, buzzier_bees:dandelion_scented_candle, buzzier_bees:cornflower_scented_candle, buzzier_bees:lily_of_the_valley_scented_candle, buzzier_bees:oxeye_daisy_scented_candle, buzzier_bees:poppy_scented_candle, buzzier_bees:white_tulip_scented_candle, buzzier_bees:orange_tulip_scented_candle, buzzier_bees:pink_tulip_scented_candle, buzzier_bees:red_tulip_scented_candle, buzzier_bees:wither_rose_scented_candle, buzzier_bees:white_clover_scented_candle, buzzier_bees:pink_clover_scented_candle, buzzier_bees:buttercup_scented_candle, buzzier_bees:warm_monkey_brush_scented_candle, buzzier_bees:hot_monkey_brush_scented_candle, buzzier_bees:scalding_monkey_brush_scented_candle, buzzier_bees:water_hyacinth_scented_candle, buzzier_bees:gilia_scented_candle, buzzier_bees:yucca_flower_scented_candle, buzzier_bees:autumn_crocus_scented_candle, buzzier_bees:cartwheel_scented_candle, buzzier_bees:bluebell_scented_candle, buzzier_bees:violet_scented_candle, buzzier_bees:dianthus_scented_candle, buzzier_bees:red_lotus_flower_scented_candle, buzzier_bees:white_lotus_flower_scented_candle, buzzier_bees:yellow_hibiscus_scented_candle, buzzier_bees:orange_hibiscus_scented_candle, buzzier_bees:red_hibiscus_scented_candle, buzzier_bees:pink_hibiscus_scented_candle, buzzier_bees:magenta_hibiscus_scented_candle, buzzier_bees:purple_hibiscus_scented_candle, buzzier_bees:white_searocket_scented_candle, buzzier_bees:pink_searocket_scented_candle"
"buzzier_bees:dyed_candles","buzzier_bees:white_candle, buzzier_bees:orange_candle, buzzier_bees:magenta_candle, buzzier_bees:light_blue_candle, buzzier_bees:yellow_candle, buzzier_bees:lime_candle, buzzier_bees:pink_candle, buzzier_bees:gray_candle, buzzier_bees:light_gray_candle, buzzier_bees:cyan_candle, buzzier_bees:purple_candle, buzzier_bees:blue_candle, buzzier_bees:brown_candle, buzzier_bees:green_candle, buzzier_bees:red_candle, buzzier_bees:black_candle"
"buzzier_bees:scented_candles","buzzier_bees:allium_scented_candle, buzzier_bees:azure_bluet_scented_candle, buzzier_bees:blue_orchid_scented_candle, buzzier_bees:dandelion_scented_candle, buzzier_bees:cornflower_scented_candle, buzzier_bees:lily_of_the_valley_scented_candle, buzzier_bees:oxeye_daisy_scented_candle, buzzier_bees:poppy_scented_candle, buzzier_bees:white_tulip_scented_candle, buzzier_bees:orange_tulip_scented_candle, buzzier_bees:pink_tulip_scented_candle, buzzier_bees:red_tulip_scented_candle, buzzier_bees:wither_rose_scented_candle, buzzier_bees:white_clover_scented_candle, buzzier_bees:pink_clover_scented_candle, buzzier_bees:buttercup_scented_candle, buzzier_bees:warm_monkey_brush_scented_candle, buzzier_bees:hot_monkey_brush_scented_candle, buzzier_bees:scalding_monkey_brush_scented_candle, buzzier_bees:water_hyacinth_scented_candle, buzzier_bees:gilia_scented_candle, buzzier_bees:yucca_flower_scented_candle, buzzier_bees:autumn_crocus_scented_candle, buzzier_bees:cartwheel_scented_candle, buzzier_bees:bluebell_scented_candle, buzzier_bees:violet_scented_candle, buzzier_bees:dianthus_scented_candle, buzzier_bees:red_lotus_flower_scented_candle, buzzier_bees:white_lotus_flower_scented_candle, buzzier_bees:yellow_hibiscus_scented_candle, buzzier_bees:orange_hibiscus_scented_candle, buzzier_bees:red_hibiscus_scented_candle, buzzier_bees:pink_hibiscus_scented_candle, buzzier_bees:magenta_hibiscus_scented_candle, buzzier_bees:purple_hibiscus_scented_candle, buzzier_bees:white_searocket_scented_candle, buzzier_bees:pink_searocket_scented_candle"
"charm:barrels","minecraft:barrel, charm:acacia_barrel, charm:birch_barrel, charm:crimson_barrel, charm:dark_oak_barrel, charm:jungle_barrel, charm:oak_barrel, charm:spruce_barrel, charm:warped_barrel"
"charm:bookcases","charm:acacia_bookcase, charm:birch_bookcase, charm:crimson_bookcase, charm:dark_oak_bookcase, charm:jungle_bookcase, charm:oak_bookcase, charm:spruce_bookcase, charm:warped_bookcase"
"charm:bookshelves","charm:acacia_bookshelf, charm:birch_bookshelf, charm:crimson_bookshelf, charm:dark_oak_bookshelf, charm:jungle_bookshelf, charm:spruce_bookshelf, charm:warped_bookshelf"
"charm:chests/normal","minecraft:chest, charm:acacia_chest, charm:birch_chest, charm:crimson_chest, charm:dark_oak_chest, charm:jungle_chest, charm:oak_chest, charm:spruce_chest, charm:warped_chest"
"charm:chests/trapped","minecraft:trapped_chest, charm:acacia_trapped_chest, charm:birch_trapped_chest, charm:crimson_trapped_chest, charm:dark_oak_trapped_chest, charm:jungle_trapped_chest, charm:oak_trapped_chest, charm:spruce_trapped_chest, charm:warped_trapped_chest"
"charm:chests/wooden","minecraft:chest, minecraft:trapped_chest, charm:acacia_chest, charm:acacia_trapped_chest, charm:birch_chest, charm:birch_trapped_chest, charm:crimson_chest, charm:crimson_trapped_chest, charm:dark_oak_chest, charm:dark_oak_trapped_chest, charm:jungle_chest, charm:jungle_trapped_chest, charm:oak_chest, charm:oak_trapped_chest, charm:spruce_chest, charm:spruce_trapped_chest, charm:warped_chest, charm:warped_trapped_chest"
"charm:crates","charm:acacia_crate, charm:birch_crate, charm:crimson_crate, charm:dark_oak_crate, charm:jungle_crate, charm:oak_crate, charm:spruce_crate, charm:warped_crate"
"charm:lanterns","minecraft:lantern, minecraft:soul_lantern, charm:gold_lantern, charm:gold_soul_lantern, charm:redstone_lantern"
"create:create_ingots","create:copper_ingot, create:zinc_ingot, create:brass_ingot"
"create:crushed_ores","create:crushed_iron_ore, create:crushed_gold_ore, create:crushed_copper_ore, create:crushed_zinc_ore, create:crushed_brass, create:crushed_osmium_ore, create:crushed_platinum_ore, create:crushed_silver_ore, create:crushed_tin_ore, create:crushed_lead_ore, create:crushed_quicksilver_ore, create:crushed_aluminum_ore, create:crushed_uranium_ore, create:crushed_nickel_ore"
"create:seats","create:white_seat, create:orange_seat, create:magenta_seat, create:light_blue_seat, create:yellow_seat, create:lime_seat, create:pink_seat, create:gray_seat, create:light_gray_seat, create:cyan_seat, create:purple_seat, create:blue_seat, create:brown_seat, create:green_seat, create:red_seat, create:black_seat"
"create:upright_on_belt","create:blaze_cake_base, create:blaze_cake, create:builders_tea, minecraft:glass_bottle, minecraft:potion, minecraft:splash_potion, minecraft:lingering_potion"
"create:valve_handles","create:copper_valve_handle, create:white_valve_handle, create:orange_valve_handle, create:magenta_valve_handle, create:light_blue_valve_handle, create:yellow_valve_handle, create:lime_valve_handle, create:pink_valve_handle, create:gray_valve_handle, create:light_gray_valve_handle, create:cyan_valve_handle, create:purple_valve_handle, create:blue_valve_handle, create:brown_valve_handle, create:green_valve_handle, create:red_valve_handle, create:black_valve_handle"
"curios:back","sophisticatedbackpacks:backpack, sophisticatedbackpacks:iron_backpack, sophisticatedbackpacks:gold_backpack, sophisticatedbackpacks:diamond_backpack, minecraft:elytra"
"curios:belt","toolbelt:belt"
"curios:charm","nomowanderer:no_mo_wanderer_totem, magicfeather:magicfeather"
"curios:hands","curios:knuckles"
"curios:head","curios:crown"
"curios:necklace","curios:amulet"
"curios:ring","curios:ring"
"engineersdecor:accepted_mineral_smelter_input","minecraft:stone, minecraft:granite, minecraft:polished_granite, minecraft:diorite, minecraft:polished_diorite, minecraft:andesite, minecraft:polished_andesite, minecraft:cobblestone, minecraft:sand, minecraft:red_sand, minecraft:gravel, minecraft:sandstone, minecraft:chiseled_sandstone, minecraft:cut_sandstone, minecraft:bricks, minecraft:mossy_cobblestone, minecraft:stone_bricks, minecraft:mossy_stone_bricks, minecraft:cracked_stone_bricks, minecraft:chiseled_stone_bricks, minecraft:white_terracotta, minecraft:orange_terracotta, minecraft:magenta_terracotta, minecraft:light_blue_terracotta, minecraft:yellow_terracotta, minecraft:lime_terracotta, minecraft:pink_terracotta, minecraft:gray_terracotta, minecraft:light_gray_terracotta, minecraft:cyan_terracotta, minecraft:purple_terracotta, minecraft:blue_terracotta, minecraft:brown_terracotta, minecraft:green_terracotta, minecraft:red_terracotta, minecraft:black_terracotta, minecraft:terracotta, minecraft:red_sandstone, minecraft:chiseled_red_sandstone, minecraft:smooth_stone, minecraft:smooth_sandstone, minecraft:smooth_red_sandstone, minecraft:white_glazed_terracotta, minecraft:orange_glazed_terracotta, minecraft:magenta_glazed_terracotta, minecraft:light_blue_glazed_terracotta, minecraft:yellow_glazed_terracotta, minecraft:lime_glazed_terracotta, minecraft:pink_glazed_terracotta, minecraft:gray_glazed_terracotta, minecraft:light_gray_glazed_terracotta, minecraft:cyan_glazed_terracotta, minecraft:purple_glazed_terracotta, minecraft:blue_glazed_terracotta, minecraft:brown_glazed_terracotta, minecraft:green_glazed_terracotta, minecraft:red_glazed_terracotta, minecraft:black_glazed_terracotta"
"engineersdecor:brick_blocks","minecraft:bricks, minecraft:nether_bricks"
"engineersdecor:brick_ingots","minecraft:brick, minecraft:nether_brick"
"engineersdecor:dirts","minecraft:dirt, minecraft:coarse_dirt"
"engineersdecor:luminescent_blocks","minecraft:glowstone, minecraft:sea_lantern"
"engineersdecor:plain_concretes","minecraft:black_concrete_powder, minecraft:blue_concrete_powder, minecraft:brown_concrete_powder, minecraft:cyan_concrete_powder, minecraft:gray_concrete_powder, minecraft:green_concrete_powder, minecraft:light_blue_concrete_powder, minecraft:light_gray_concrete_powder, minecraft:lime_concrete_powder, minecraft:magenta_concrete_powder, minecraft:orange_concrete_powder, minecraft:pink_concrete_powder, minecraft:purple_concrete_powder, minecraft:red_concrete_powder, minecraft:white_concrete_powder, minecraft:yellow_concrete_powder, minecraft:black_concrete, minecraft:blue_concrete, minecraft:brown_concrete, minecraft:cyan_concrete, minecraft:gray_concrete, minecraft:green_concrete, minecraft:light_blue_concrete, minecraft:light_gray_concrete, minecraft:lime_concrete, minecraft:magenta_concrete, minecraft:orange_concrete, minecraft:pink_concrete, minecraft:purple_concrete, minecraft:red_concrete, minecraft:white_concrete, minecraft:yellow_concrete"
"engineersdecor:plain_glass_blocks","minecraft:glass, minecraft:black_stained_glass, minecraft:blue_stained_glass, minecraft:brown_stained_glass, minecraft:cyan_stained_glass, minecraft:gray_stained_glass, minecraft:green_stained_glass, minecraft:light_blue_stained_glass, minecraft:light_gray_stained_glass, minecraft:lime_stained_glass, minecraft:magenta_stained_glass, minecraft:orange_stained_glass, minecraft:pink_stained_glass, minecraft:purple_stained_glass, minecraft:red_stained_glass, minecraft:white_stained_glass, minecraft:yellow_stained_glass"
"engineersdecor:plain_glass_panes","minecraft:glass_pane, minecraft:black_stained_glass_pane, minecraft:blue_stained_glass_pane, minecraft:brown_stained_glass_pane, minecraft:cyan_stained_glass_pane, minecraft:gray_stained_glass_pane, minecraft:green_stained_glass_pane, minecraft:light_blue_stained_glass_pane, minecraft:light_gray_stained_glass_pane, minecraft:lime_stained_glass_pane, minecraft:magenta_stained_glass_pane, minecraft:orange_stained_glass_pane, minecraft:pink_stained_glass_pane, minecraft:purple_stained_glass_pane, minecraft:red_stained_glass_pane, minecraft:white_stained_glass_pane, minecraft:yellow_stained_glass_pane"
"farmersdelight:comfort_foods","minecraft:mushroom_stew, minecraft:beetroot_soup, minecraft:rabbit_stew"
"farmersdelight:straw_harvesters","farmersdelight:flint_knife, farmersdelight:iron_knife, farmersdelight:diamond_knife, farmersdelight:golden_knife, farmersdelight:netherite_knife"
"farmersdelight:tools/knives","farmersdelight:flint_knife, farmersdelight:iron_knife, farmersdelight:diamond_knife, farmersdelight:golden_knife, farmersdelight:netherite_knife"
"farmersdelight:wolf_prey","minecraft:chicken, farmersdelight:chicken_cuts, minecraft:mutton, minecraft:rabbit"
"forge:beacon_payment","create:copper_ingot, create:zinc_ingot, create:brass_ingot"
"forge:bitumen","immersivepetroleum:bitumen"
"forge:bones","minecraft:bone"
"forge:books","minecraft:book, minecraft:writable_book, minecraft:written_book, minecraft:enchanted_book, inspirations:white_book, inspirations:orange_book, inspirations:magenta_book, inspirations:light_blue_book, inspirations:yellow_book, inspirations:lime_book, inspirations:pink_book, inspirations:gray_book, inspirations:light_gray_book, inspirations:cyan_book, inspirations:purple_book, inspirations:blue_book, inspirations:brown_book, inspirations:green_book, inspirations:red_book, inspirations:black_book, inspirations:redstone_book"
"forge:bookshelves","minecraft:bookshelf, atmospheric:rosewood_bookshelf, atmospheric:morado_bookshelf, atmospheric:yucca_bookshelf, atmospheric:kousa_bookshelf, atmospheric:aspen_bookshelf, atmospheric:grimwood_bookshelf, inspirations:bookshelf, inspirations:ancient_bookshelf, inspirations:rainbow_bookshelf, inspirations:tomes_bookshelf, autumnity:maple_bookshelf, quark:acacia_bookshelf, quark:birch_bookshelf, quark:dark_oak_bookshelf, quark:jungle_bookshelf, quark:spruce_bookshelf, quark:warped_bookshelf, quark:crimson_bookshelf"
"forge:bread","minecraft:bread"
"forge:bread/wheat","minecraft:bread"
"forge:buckets/milk","minecraft:milk_bucket"
"forge:charcoal","minecraft:charcoal"
